student_registration_dataset_1200
student_ID,Department,Gender,Registration_date,Tuition_Fee
S0078,Business Administration,Male,2025-07-27,59000
S0079,Business Administration,Male,2026-01-06,33000
S0080,Physics,Male,2024-12-15,76000
S0081,Business Administration,Male,2025-01-26,38000
S0082,Engineering,Female,2026-01-17,65000
S0083,Physics,Male,2026-02-09,39000
S0084,Business Administration,Male,2024-06-25,27000
S0085,Business Administration,Male,2024-07-11,38000
S0086,Mathematics,Female,2024-02-21,63000
S0087,Physics,Female,2024-05-29,77000
S0088,Computer Science,Male,2025-05-17,73000
S0089,Physics,Male,2023-01-08,41000
S0090,Engineering,Female,2023-11-27,67000
S0091,Information Technology,Female,2026-02-22,20000
S0092,Business Administration,Male,2023-11-02,54000
S0093,Computer Science,Female,2026-04-07,55000
S0094,Engineering,Female,2023-09-19,22000
S0095,Physics,Female,2023-03-23,77000
S0096,Biology,Male,2024-05-26,62000
S0097,Business Administration,Female,2026-02-20,76000
S0098,Economics,Male,2024-04-29,75000
S0099,Engineering,Male,2025-04-24,21000
S0100,Engineering,Female,2025-04-23,71000
S0101,Mathematics,Female,2023-11-23,70000
S0102,Business Administration,Female,2023-03-21,74000
S0103,Information Technology,Male,2024-02-13,72000
S0104,Information Technology,Female,2024-09-17,72000
S0105,Mathematics,Male,2023-02-18,62000
S0106,Mathematics,Female,2024-11-03,37000
S0107,Business Administration,Female,2024-12-20,61000
S0108,Economics,Female,2023-02-26,27000
S0109,Physics,Male,2026-04-04,36000
S0110,Computer Science,Male,2026-05-06,47000
S0111,Biology,Female,2025-06-12,58000
S0112,Business Administration,Female,2026-03-26,32000
S0113,Physics,Male,2025-06-12,20000
S0114,Mathematics,Female,2025-06-02,24000
S0115,Biology,Female,2023-09-13,66000
S0116,Physics,Female,2025-04-16,40000
S0117,Economics,Female,2026-02-09,28000
S0118,Mathematics,Female,2025-02-15,63000
S0119,Engineering,Female,2025-04-11,55000
S0120,Computer Science,Female,2024-08-10,33000
S0121,Economics,Female,2025-08-10,48000
S0122,Information Technology,Male,2025-11-12,50000
S0123,Engineering,Male,2024-08-04,52000
S0124,Biology,Male,2024-04-26,63000
S0125,Physics,Male,2024-02-12,29000
S0126,Computer Science,Male,2024-05-16,50000
S0127,Business Administration,Female,2025-04-28,76000
S0128,Mathematics,Female,2025-10-09,45000
S0129,Mathematics,Male,2023-01-12,77000
S0130,Business Administration,Female,2024-03-24,31000
S0131,Information Technology,Male,2026-02-15,35000
S0132,Business Administration,Female,2023-10-01,71000
S0133,Information Technology,Female,2025-06-25,59000
S0134,Economics,Female,2023-11-22,67000
S0135,Information Technology,Female,2024-06-14,68000
S0136,Mathematics,Female,2025-12-03,51000
S0137,Mathematics,Female,2025-06-19,24000
S0138,Physics,Male,2024-07-10,41000
S0139,Biology,Male,2023-10-11,29000
S0140,Mathematics,Female,2023-11-09,65000
S0141,Mathematics,Male,2025-04-29,46000
S0142,Biology,Female,2025-05-01,23000
S0143,Mathematics,Female,2025-03-08,77000
S0144,Computer Science,Female,2025-09-03,20000
S0145,Biology,Female,2025-03-09,74000
S0146,Economics,Male,2025-09-26,34000
S0147,Physics,Female,2025-09-21,21000
S0148,Economics,Female,2025-04-08,66000
S0149,Engineering,Female,2023-09-19,59000
S0150,Computer Science,Female,2026-04-27,56000
S0151,Computer Science,Male,2025-05-27,28000
S0152,Information Technology,Male,2023-04-13,36000
S0153,Economics,Female,2024-03-09,49000
S0154,Biology,Female,2025-02-15,37000
S0155,Economics,Female,2023-06-17,50000
S0156,Computer Science,Male,2024-12-17,34000
S0157,Business Administration,Male,2023-03-05,80000
S0158,Mathematics,Male,2023-02-11,59000
S0159,Engineering,Male,2023-09-16,50000
S0160,Business Administration,Male,2025-08-10,64000
S0161,Physics,Female,2023-12-10,58000
S0162,Business Administration,Male,2024-09-29,26000
S0163,Computer Science,Female,2026-03-25,63000
S0164,Economics,Female,2024-02-11,24000
S0165,Mathematics,Male,2024-09-09,74000
S0166,Business Administration,Male,2024-12-12,54000
S0167,Economics,Female,2023-05-22,52000
S0168,Biology,Male,2025-05-10,72000
S0169,Information Technology,Male,2025-06-06,43000
S0170,Information Technology,Male,2025-06-10,31000
S0171,Physics,Female,2025-08-10,47000
S0172,Physics,Female,2024-05-17,73000
S0173,Business Administration,Female,2025-07-12,35000
S0174,Information Technology,Female,2024-11-19,21000
S0175,Information Technology,Female,2024-01-08,51000
S0176,Mathematics,Female,2024-06-13,41000
S0177,Physics,Female,2026-02-12,20000
S0178,Mathematics,Male,2024-05-09,66000
S0179,Economics,Female,2026-02-11,68000
S0180,Mathematics,Female,2025-10-02,48000
S0181,Computer Science,Male,2024-08-25,34000
S0182,Economics,Male,2024-09-19,62000
S0183,Biology,Female,2026-02-07,53000
S0184,Biology,Female,2026-02-01,41000
S0185,Biology,Female,2024-07-08,39000
S0186,Physics,Male,2023-09-05,66000
S0187,Mathematics,Female,2023-09-02,67000
S0188,Engineering,Male,2024-03-19,67000
S0189,Information Technology,Female,2026-04-22,68000
S0190,Physics,Male,2024-02-02,38000
S0191,Mathematics,Female,2024-01-03,39000
S0192,Computer Science,Male,2024-07-15,22000
S0193,Computer Science,Female,2023-09-16,60000
S0194,Information Technology,Male,2023-01-26,56000
S0195,Physics,Female,2025-09-07,48000
S0196,Biology,Male,2023-04-16,36000
S0197,Information Technology,Male,2023-05-14,45000
S0198,Information Technology,Male,2026-03-27,60000
S0199,Computer Science,Male,2023-11-02,71000
S0200,Physics,Male,2024-05-23,27000
S0201,Economics,Male,2025-12-06,44000
S0202,Information Technology,Female,2024-08-31,75000
S0203,Economics,Female,2026-03-10,59000
S0204,Computer Science,Male,2024-03-01,60000
S0205,Mathematics,Female,2023-06-16,30000
S0206,Mathematics,Male,2026-02-04,24000
S0207,Engineering,Male,2025-04-16,48000
S0208,Information Technology,Female,2023-03-08,34000
S0209,Physics,Female,2025-07-18,24000
S0210,Mathematics,Female,2026-04-22,62000
S0211,Mathematics,Female,2023-08-24,54000
S0212,Mathematics,Male,2024-06-28,72000
S0213,Engineering,Male,2023-05-03,30000
S0214,Physics,Female,2025-06-18,27000
S0215,Information Technology,Female,2025-04-04,80000
S0216,Physics,Female,2025-06-15,25000
S0217,Computer Science,Female,2024-10-22,58000
S0218,Physics,Male,2023-07-07,34000
S0219,Computer Science,Female,2026-03-26,22000
S0220,Engineering,Female,2025-11-28,61000
S0221,Information Technology,Female,2024-01-07,57000
S0222,Economics,Female,2023-07-06,50000
S0223,Biology,Female,2024-11-13,40000
S0224,Business Administration,Male,2024-11-06,46000
S0225,Information Technology,Female,2025-03-31,72000
S0226,Computer Science,Female,2023-06-30,40000
S0227,Physics,Female,2023-08-26,69000
S0228,Economics,Male,2026-01-16,49000
S0229,Economics,Male,2024-01-20,53000
S0230,Biology,Female,2025-06-24,68000
S0231,Computer Science,Male,2024-06-30,55000
S0232,Engineering,Female,2025-06-16,76000
S0233,Information Technology,Male,2023-03-01,60000
S0234,Mathematics,Male,2024-09-28,55000
S0235,Computer Science,Female,2023-07-10,34000
S0236,Business Administration,Female,2023-08-29,61000
S0237,Engineering,Female,2024-08-20,52000
S0238,Physics,Female,2025-09-15,50000
S0239,Mathematics,Female,2026-02-02,29000
S0240,Economics,Male,2026-05-12,52000
S0241,Engineering,Male,2024-07-19,69000
S0242,Economics,Female,2025-11-05,37000
S0243,Computer Science,Female,2024-09-03,73000
S0244,Information Technology,Male,2025-07-03,54000
S0245,Information Technology,Female,2024-11-11,55000
S0246,Economics,Female,2024-10-21,75000
S0247,Mathematics,Male,2026-03-17,44000
S0248,Mathematics,Female,2023-03-31,40000
S0249,Information Technology,Female,2025-03-01,62000
S0250,Engineering,Female,2023-03-17,28000
S0251,Biology,Male,2025-06-20,26000
S0252,Information Technology,Male,2023-10-23,46000
S0253,Engineering,Male,2025-08-19,70000
S0254,Physics,Female,2025-03-25,61000
S0255,Business Administration,Female,2025-12-28,44000
S0256,Biology,Female,2026-01-13,22000
S0257,Business Administration,Male,2024-08-11,34000
S0258,Business Administration,Female,2023-07-21,68000
S0259,Business Administration,Female,2023-12-07,64000
S0260,Physics,Male,2023-04-05,40000
S0261,Computer Science,Female,2025-01-04,43000
S0262,Economics,Male,2024-05-15,53000
S0263,Economics,Male,2023-12-15,31000
S0264,Business Administration,Female,2024-05-08,51000
S0265,Engineering,Male,2025-08-02,60000
S0266,Physics,Female,2024-06-06,62000
S0267,Computer Science,Female,2024-08-12,63000
S0268,Engineering,Male,2025-06-23,80000
S0269,Biology,Female,2025-05-18,64000
S0270,Physics,Female,2024-09-10,32000
S0271,Economics,Female,2023-08-07,35000
S0272,Economics,Female,2026-03-23,38000
S0273,Physics,Male,2025-03-21,37000
S0274,Computer Science,Male,2026-05-26,67000
S0275,Information Technology,Female,2024-04-16,58000
S0276,Biology,Male,2024-01-25,59000
S0277,Physics,Male,2023-07-18,77000
S0278,Computer Science,Female,2025-06-21,22000
S0279,Biology,Male,2023-07-04,78000
S0280,Physics,Female,2025-04-30,31000
S0281,Mathematics,Male,2026-01-09,76000
S0282,Biology,Female,2023-12-03,36000
S0283,Information Technology,Female,2024-11-24,71000
S0284,Business Administration,Female,2023-06-04,29000
S0285,Mathematics,Female,2026-02-15,43000
S0286,Business Administration,Female,2023-01-29,36000
S0287,Business Administration,Female,2025-01-24,63000
S0288,Physics,Female,2025-01-30,26000
S0289,Mathematics,Female,2023-02-21,59000
S0290,Biology,Male,2023-05-10,60000
S0291,Information Technology,Female,2025-04-16,27000
S0292,Engineering,Male,2023-03-18,39000
S0293,Information Technology,Male,2023-07-19,35000
S0294,Engineering,Female,2025-07-18,43000
S0295,Economics,Male,2025-04-29,61000
S0296,Business Administration,Female,2025-04-15,80000
S0297,Physics,Male,2025-01-28,33000
S0298,Information Technology,Female,2024-04-28,74000
S0299,Biology,Male,2025-01-22,54000
S0300,Biology,Male,2025-03-26,37000
S0301,Mathematics,Male,2025-07-20,25000
S0302,Mathematics,Male,2023-04-14,70000
S0303,Biology,Male,2023-09-15,70000
S0304,Mathematics,Male,2026-02-09,33000
S0305,Mathematics,Male,2024-11-03,69000
S0306,Engineering,Male,2024-07-21,74000
S0307,Engineering,Male,2026-01-11,36000
S0308,Engineering,Male,2023-02-22,28000
S0309,Computer Science,Female,2024-05-02,57000
S0310,Biology,Male,2023-12-23,36000
S0311,Computer Science,Male,2025-05-12,53000
S0312,Business Administration,Male,2025-09-02,48000
S0313,Biology,Male,2025-07-14,52000
S0314,Mathematics,Male,2025-12-03,39000
S0315,Information Technology,Male,2023-05-05,50000
S0316,Economics,Female,2023-08-10,51000
S0317,Information Technology,Male,2023-06-15,40000
S0318,Engineering,Male,2023-09-16,37000
S0319,Biology,Female,2026-05-08,53000
S0320,Physics,Female,2025-11-01,58000
S0321,Economics,Male,2023-08-23,74000
S0322,Mathematics,Female,2025-07-13,76000
S0323,Mathematics,Female,2024-11-25,72000
S0324,Information Technology,Female,2025-05-01,66000
S0325,Business Administration,Female,2025-05-24,40000
S0326,Physics,Female,2023-11-09,63000
S0327,Information Technology,Male,2023-07-06,73000
S0328,Business Administration,Male,2025-06-03,26000
S0329,Biology,Male,2026-02-13,23000
S0330,Biology,Male,2025-04-21,42000
S0331,Economics,Male,2024-08-12,58000
S0332,Physics,Female,2023-08-01,56000
S0333,Mathematics,Male,2025-09-14,34000
S0334,Business Administration,Female,2026-02-13,43000
S0335,Business Administration,Female,2026-03-21,34000
S0336,Economics,Male,2026-06-01,79000
S0337,Physics,Male,2024-01-05,37000
S0338,Physics,Female,2024-12-19,20000
S0339,Engineering,Male,2026-03-05,62000
S0340,Economics,Male,2023-10-18,67000
S0341,Computer Science,Male,2025-12-22,33000
S0342,Economics,Female,2025-07-18,41000
S0343,Engineering,Female,2024-09-30,66000
S0344,Biology,Male,2023-04-18,29000
S0345,Engineering,Male,2023-06-17,37000
S0346,Information Technology,Female,2025-09-21,58000
S0347,Information Technology,Female,2024-07-13,33000
S0348,Business Administration,Female,2025-05-30,27000
S0349,Physics,Female,2025-12-15,62000
S0350,Physics,Male,2024-03-27,45000
S0351,Computer Science,Male,2024-02-23,39000
S0352,Mathematics,Male,2024-06-07,38000
S0353,Biology,Male,2023-01-16,51000
S0354,Economics,Male,2023-09-22,44000
S0355,Mathematics,Female,2023-05-28,45000
S0356,Computer Science,Female,2023-02-08,49000
S0357,Business Administration,Female,2026-03-25,47000
S0358,Economics,Female,2024-08-15,27000
S0359,Economics,Male,2024-10-27,30000
S0360,Information Technology,Female,2023-06-30,47000
S0361,Business Administration,Male,2025-06-11,57000
S0362,Economics,Male,2025-03-21,75000
S0363,Physics,Female,2024-03-29,41000
S0364,Engineering,Male,2025-11-11,60000
S0365,Business Administration,Male,2024-12-16,42000
S0366,Engineering,Male,2023-07-30,29000
S0367,Physics,Male,2023-12-22,58000
S0368,Engineering,Male,2023-12-29,80000
S0369,Information Technology,Female,2026-02-28,68000
S0370,Information Technology,Female,2024-10-09,29000
S0371,Information Technology,Male,2025-08-18,48000
S0372,Physics,Female,2026-04-26,23000
S0373,Biology,Male,2024-09-27,49000
S0374,Information Technology,Male,2023-04-27,43000
S0375,Physics,Male,2023-07-04,59000
S0376,Economics,Female,2026-04-03,55000
S0377,Computer Science,Female,2026-03-16,61000
S0378,Mathematics,Female,2026-05-24,50000
S0379,Engineering,Male,2025-07-11,26000
S0380,Biology,Male,2025-10-30,61000
S0381,Engineering,Male,2024-05-22,65000
S0382,Information Technology,Female,2025-12-09,53000
S0383,Engineering,Female,2025-02-02,78000
S0384,Physics,Female,2025-04-17,69000
S0385,Biology,Male,2024-11-16,24000
S0386,Biology,Male,2026-02-16,63000
S0387,Economics,Female,2024-05-31,66000
S0388,Engineering,Female,2023-06-16,57000
S0389,Engineering,Female,2024-09-27,61000
S0390,Economics,Male,2026-05-03,65000
S0391,Business Administration,Female,2026-02-18,44000
S0392,Biology,Male,2025-12-14,25000
S0393,Economics,Female,2023-02-07,43000
S0394,Physics,Male,2024-03-14,41000
S0395,Information Technology,Male,2024-04-08,28000
S0396,Engineering,Male,2024-08-28,74000
S0397,Business Administration,Male,2024-11-20,76000
S0398,Engineering,Female,2023-11-12,30000
S0399,Engineering,Male,2025-06-15,22000
S0400,Economics,Female,2024-05-01,48000
S0401,Physics,Female,2024-04-24,54000
S0402,Mathematics,Female,2025-08-18,77000
S0403,Mathematics,Female,2026-03-14,48000
S0404,Information Technology,Female,2025-02-21,52000
S0405,Economics,Male,2024-02-13,71000
S0406,Engineering,Female,2023-04-17,61000
S0407,Information Technology,Female,2026-02-09,79000
S0408,Business Administration,Male,2024-08-06,25000
S0409,Engineering,Female,2025-07-09,77000
S0410,Engineering,Female,2023-07-07,80000
S0411,Mathematics,Female,2024-12-16,79000
S0412,Computer Science,Female,2023-04-20,45000
S0413,Biology,Male,2025-03-01,25000
S0414,Biology,Male,2023-02-27,40000
S0415,Business Administration,Female,2023-10-27,28000
S0416,Computer Science,Female,2025-08-25,64000
S0417,Engineering,Female,2025-07-07,59000
S0418,Computer Science,Male,2023-02-08,36000
S0419,Mathematics,Male,2026-01-28,80000
S0420,Economics,Male,2024-08-13,35000
S0421,Physics,Male,2023-04-08,35000
S0422,Economics,Female,2023-05-09,27000
S0423,Information Technology,Male,2025-11-21,56000
S0424,Mathematics,Male,2024-08-19,47000
S0425,Computer Science,Female,2024-05-07,56000
S0426,Economics,Male,2023-06-25,53000
S0427,Biology,Male,2025-12-13,54000
S0428,Computer Science,Female,2025-08-20,22000
S0429,Economics,Female,2024-06-03,67000
S0430,Computer Science,Female,2023-05-19,42000
S0431,Mathematics,Male,2026-04-06,67000
S0432,Biology,Male,2023-04-01,42000
S0433,Biology,Male,2025-08-09,64000
S0434,Information Technology,Male,2023-10-04,24000
S0435,Information Technology,Male,2024-08-23,32000
S0436,Computer Science,Male,2023-03-27,40000
S0437,Physics,Female,2026-01-17,50000
S0438,Physics,Male,2024-01-27,38000
S0439,Biology,Male,2024-11-10,37000
S0440,Business Administration,Female,2025-06-13,76000
S0441,Economics,Female,2025-03-02,41000
S0442,Engineering,Female,2025-10-15,43000
S0443,Physics,Male,2025-05-19,25000
S0444,Economics,Male,2026-01-22,38000
S0445,Biology,Male,2023-06-13,40000
S0446,Physics,Female,2025-07-02,58000
S0447,Economics,Male,2025-06-28,42000
S0448,Information Technology,Male,2024-12-23,59000
S0449,Economics,Female,2023-04-28,24000
S0450,Economics,Female,2025-11-16,71000
S0451,Engineering,Male,2023-10-20,74000
S0452,Information Technology,Male,2023-09-16,24000
S0453,Mathematics,Female,2025-01-11,44000
S0454,Computer Science,Male,2025-07-10,80000
S0455,Biology,Female,2025-06-28,68000
S0456,Business Administration,Male,2025-12-20,43000
S0457,Economics,Female,2024-07-24,35000
S0458,Business Administration,Male,2024-01-17,51000
S0459,Economics,Male,2024-06-20,69000
S0460,Physics,Female,2024-03-15,59000
S0461,Physics,Female,2024-02-14,27000
S0462,Engineering,Male,2025-07-14,31000
S0463,Information Technology,Male,2024-10-16,62000
S0464,Biology,Male,2026-01-31,54000
S0465,Physics,Female,2023-11-19,65000
S0466,Engineering,Female,2025-11-07,34000
S0467,Business Administration,Male,2023-10-12,35000
S0468,Information Technology,Male,2025-01-09,55000
S0469,Biology,Female,2026-02-03,28000
S0470,Business Administration,Male,2024-09-25,45000
S0471,Information Technology,Female,2025-04-18,72000
S0472,Business Administration,Male,2024-10-11,61000
S0473,Business Administration,Female,2025-08-12,63000
S0474,Biology,Male,2026-02-03,60000
S0475,Engineering,Male,2025-06-05,52000
S0476,Computer Science,Male,2025-11-27,29000
S0477,Physics,Male,2023-11-28,40000
S0478,Mathematics,Female,2025-11-28,77000
S0479,Physics,Male,2024-05-28,32000
S0480,Physics,Male,2024-09-12,59000
S0481,Business Administration,Male,2026-04-27,80000
S0482,Engineering,Male,2026-05-24,41000
S0483,Computer Science,Male,2023-06-16,22000
S0484,Physics,Male,2026-03-17,46000
S0485,Computer Science,Female,2026-01-22,38000
S0486,Physics,Female,2024-05-16,71000
S0487,Economics,Female,2025-07-17,24000
S0488,Computer Science,Male,2025-06-19,46000
S0489,Information Technology,Female,2024-02-22,41000
S0490,Engineering,Female,2024-10-15,66000
S0491,Biology,Female,2023-09-25,68000
S0492,Biology,Male,2024-10-15,35000
S0493,Information Technology,Male,2024-07-01,48000
S0494,Mathematics,Male,2023-07-18,23000
S0495,Physics,Female,2025-05-06,35000
S0496,Engineering,Female,2026-03-29,66000
S0497,Biology,Male,2023-11-23,51000
S0498,Information Technology,Female,2024-09-23,51000
S0499,Computer Science,Male,2025-03-16,52000
S0500,Information Technology,Male,2024-03-16,57000
S0501,Biology,Male,2023-04-14,38000
S0502,Information Technology,Female,2024-08-08,54000
S0503,Computer Science,Male,2025-06-01,28000
S0504,Physics,Female,2025-04-05,43000
S0505,Computer Science,Female,2023-04-15,56000
S0506,Mathematics,Female,2026-02-07,38000
S0507,Business Administration,Female,2025-10-29,48000
S0508,Physics,Male,2023-09-21,26000
S0509,Economics,Female,2024-11-25,55000
S0510,Biology,Male,2024-02-12,58000
S0511,Economics,Male,2023-04-03,22000
S0512,Engineering,Female,2025-08-28,53000
S0513,Information Technology,Male,2026-05-26,77000
S0514,Engineering,Female,2024-10-14,30000
S0515,Economics,Female,2026-04-30,41000
S0516,Information Technology,Female,2025-08-30,72000
S0517,Computer Science,Female,2024-11-09,63000
S0518,Business Administration,Female,2026-04-10,39000
S0519,Computer Science,Female,2024-06-27,61000
S0520,Mathematics,Male,2026-04-10,50000
S0521,Engineering,Female,2023-10-30,72000
S0522,Mathematics,Male,2026-03-18,80000
S0523,Business Administration,Male,2023-02-08,48000
S0524,Biology,Female,2023-11-07,46000
S0525,Mathematics,Female,2025-10-24,69000
S0526,Information Technology,Male,2023-10-10,53000
S0527,Mathematics,Female,2025-09-06,53000
S0528,Economics,Female,2023-12-21,49000
S0529,Biology,Female,2024-06-25,59000
S0530,Information Technology,Male,2024-05-19,37000
S0531,Physics,Male,2024-09-01,69000
S0532,Physics,Male,2025-09-28,40000
S0533,Information Technology,Female,2026-02-21,79000
S0534,Physics,Female,2023-09-07,56000
S0535,Economics,Female,2024-12-07,69000
S0536,Engineering,Female,2023-03-28,38000
S0537,Business Administration,Female,2025-06-24,61000
S0538,Physics,Female,2024-03-14,32000
S0539,Physics,Female,2023-10-09,26000
S0540,Mathematics,Male,2023-04-14,62000
S0541,Mathematics,Male,2023-04-18,26000
S0542,Economics,Female,2025-08-25,26000
S0543,Engineering,Male,2026-02-01,79000
S0544,Engineering,Female,2025-09-01,50000
S0545,Mathematics,Female,2024-10-19,38000
S0546,Computer Science,Male,2026-03-21,34000
S0547,Computer Science,Male,2025-05-05,76000
S0548,Engineering,Male,2025-03-24,70000
S0549,Information Technology,Male,2024-08-15,76000
S0550,Computer Science,Male,2024-09-03,56000
S0551,Business Administration,Female,2024-08-05,49000
S0552,Information Technology,Male,2025-10-29,49000
S0553,Physics,Male,2023-08-19,41000
S0554,Engineering,Female,2024-06-10,65000
S0555,Engineering,Male,2024-11-21,70000
S0556,Physics,Male,2023-12-26,59000
S0557,Economics,Female,2025-11-21,40000
S0558,Business Administration,Female,2023-07-15,31000
S0559,Engineering,Female,2024-10-24,79000
S0560,Mathematics,Male,2024-06-18,44000
S0561,Mathematics,Female,2024-06-30,41000
S0562,Physics,Male,2024-06-19,61000
S0563,Biology,Male,2023-05-08,62000
S0564,Business Administration,Female,2024-09-20,30000
S0565,Economics,Female,2023-08-29,60000
S0566,Physics,Female,2024-03-28,34000
S0567,Engineering,Female,2023-11-10,49000
S0568,Biology,Female,2026-01-29,78000
S0569,Information Technology,Male,2024-05-21,63000
S0570,Business Administration,Female,2025-12-17,65000
S0571,Biology,Male,2026-03-01,27000
S0572,Computer Science,Male,2026-03-18,54000
S0573,Engineering,Male,2024-11-02,74000
S0574,Information Technology,Male,2024-02-25,65000
S0575,Information Technology,Male,2025-11-11,48000
S0576,Computer Science,Female,2023-09-28,52000
S0577,Economics,Female,2026-02-28,23000
S0578,Information Technology,Female,2023-02-14,45000
S0579,Physics,Male,2024-03-22,57000
S0580,Business Administration,Male,2025-05-17,42000
S0581,Business Administration,Male,2023-05-22,79000
S0582,Information Technology,Male,2024-08-10,46000
S0583,Engineering,Male,2025-05-10,43000
S0584,Economics,Female,2025-02-12,44000
S0585,Business Administration,Male,2024-12-13,27000
S0586,Engineering,Female,2025-12-19,28000
S0587,Mathematics,Male,2023-02-16,39000
S0588,Information Technology,Female,2025-12-25,44000
S0589,Mathematics,Male,2025-08-01,42000
S0590,Engineering,Female,2024-01-22,79000
S0591,Business Administration,Male,2025-05-08,59000
S0592,Computer Science,Male,2024-02-27,24000
S0593,Business Administration,Male,2025-07-03,58000
S0594,Computer Science,Male,2023-04-01,45000
S0595,Information Technology,Male,2026-01-10,33000
S0596,Computer Science,Male,2025-10-28,38000
S0597,Mathematics,Female,2026-03-28,58000
S0598,Biology,Male,2024-09-10,76000
S0599,Engineering,Male,2025-04-26,39000
S0600,Physics,Male,2026-02-14,80000
S0601,Engineering,Female,2026-02-12,51000
S0602,Computer Science,Female,2025-02-19,70000
S0603,Biology,Female,2025-04-16,29000
S0604,Physics,Female,2024-01-12,68000
S0605,Information Technology,Male,2024-04-06,39000
S0606,Engineering,Female,2023-04-29,55000
S0607,Economics,Female,2026-02-15,53000
S0608,Engineering,Female,2024-05-12,36000
S0609,Mathematics,Female,2023-06-11,79000
S0610,Information Technology,Female,2023-07-09,54000
S0611,Mathematics,Male,2024-07-03,44000
S0612,Computer Science,Male,2024-01-21,71000
S0613,Mathematics,Female,2024-03-03,75000
S0614,Biology,Female,2023-02-01,33000
S0615,Mathematics,Male,2025-09-07,78000
S0616,Mathematics,Male,2025-03-23,78000
S0617,Mathematics,Female,2024-08-02,44000
S0618,Information Technology,Female,2024-09-23,36000
S0619,Biology,Female,2025-08-12,26000
S0620,Information Technology,Female,2024-02-21,43000
S0621,Biology,Female,2023-04-04,56000
S0622,Mathematics,Male,2023-02-03,36000
S0623,Economics,Female,2023-11-09,32000
S0624,Biology,Male,2025-02-16,56000
S0625,Mathematics,Female,2026-02-01,61000
S0626,Biology,Female,2025-09-27,66000
S0627,Information Technology,Female,2023-12-11,66000
S0628,Biology,Male,2023-10-14,66000
