StudentID,EnrollmentDate,Department,Semester,GPA,Gender,Age
ST0226,2022-10-26,Computer Science,First Semester,2.53,Male,29
ST0227,2023-05-13,Engineering,First Semester,3.49,Female,25
ST0228,2025-05-13,Business,Summer,3.19,Female,26
ST0229,2022-03-30,Engineering,First Semester,3.45,Female,25
ST0230,2024-08-10,Computer Science,First Semester,4.0,Female,24
ST0231,2024-11-06,Computer Science,Second Semester,3.42,Female,19
ST0232,2021-06-15,Business,Summer,2.3,Male,22
ST0233,2024-07-02,Education,Summer,3.1,Female,24
ST0234,2024-05-08,Engineering,Second Semester,2.91,Female,19
ST0235,2025-06-13,Education,First Semester,3.71,Male,24
ST0236,2023-07-14,Information Technology,Second Semester,2.68,Female,24
ST0237,2023-05-02,Education,First Semester,2.63,Female,28
ST0238,2022-06-07,Business,First Semester,3.37,Female,19
ST0239,2021-07-06,Computer Science,First Semester,2.86,Female,30
ST0240,2021-09-24,Engineering,First Semester,3.17,Female,28
ST0241,2021-09-08,Accounting,Second Semester,3.75,Female,29
ST0242,2021-04-16,Business,Summer,2.62,Male,27
ST0243,2023-11-06,Information Technology,First Semester,3.31,Male,19
ST0244,2022-12-19,Engineering,Second Semester,2.23,Female,27
ST0245,2022-04-09,Accounting,Summer,3.95,Male,27
ST0246,2024-09-09,Education,Second Semester,2.06,Female,29
ST0247,2025-04-11,Business,Second Semester,2.7,Male,20
ST0248,2024-03-05,Education,Second Semester,2.14,Male,19
ST0249,2025-03-09,Engineering,First Semester,2.75,Female,23
ST0250,2021-11-19,Business,Second Semester,3.44,Male,18
ST0251,2021-11-15,Information Technology,Summer,2.1,Male,22
ST0252,2023-06-27,Education,Second Semester,2.97,Female,24
ST0253,2022-07-14,Information Technology,Summer,2.23,Female,19
ST0254,2022-08-04,Education,Summer,3.19,Female,18
ST0255,2022-03-28,Accounting,Summer,2.11,Male,22
ST0256,2022-03-09,Information Technology,Second Semester,2.58,Male,18
ST0257,2023-10-16,Education,Second Semester,2.35,Female,26
ST0258,2024-12-12,Information Technology,Summer,3.12,Female,19
ST0259,2023-03-25,Education,First Semester,2.87,Female,19
ST0260,2025-11-01,Business,Summer,2.86,Female,29
ST0261,2024-08-04,Accounting,Second Semester,2.23,Male,23
ST0262,2021-12-18,Engineering,Second Semester,3.66,Female,19
ST0263,2023-06-14,Computer Science,First Semester,2.87,Female,26
ST0264,2021-06-11,Accounting,Second Semester,3.49,Male,23
ST0265,2025-05-15,Information Technology,First Semester,3.02,Male,26
ST0266,2023-11-11,Information Technology,Second Semester,2.7,Male,21
ST0267,2021-07-30,Information Technology,Second Semester,2.39,Male,30
ST0268,2025-04-04,Education,First Semester,2.35,Female,25
ST0269,2025-03-26,Engineering,Summer,2.9,Female,28
ST0270,2022-10-10,Information Technology,Second Semester,2.14,Female,28
ST0271,2022-09-13,Business,Summer,2.11,Male,22
ST0272,2023-08-04,Accounting,First Semester,2.11,Female,19
ST0273,2024-08-13,Computer Science,Summer,3.19,Female,25
ST0274,2024-04-03,Engineering,Summer,3.79,Female,30
ST0275,2024-03-16,Education,First Semester,2.64,Female,26
ST0276,2021-11-05,Computer Science,Second Semester,2.21,Female,29
ST0277,2021-06-22,Engineering,Summer,2.35,Male,29
ST0278,2023-06-16,Accounting,Summer,3.05,Male,23
ST0279,2023-02-03,Business,Second Semester,2.82,Female,28
ST0280,2024-05-09,Computer Science,Summer,3.29,Male,23
ST0281,2021-07-13,Engineering,Summer,2.77,Female,29
ST0282,2025-10-11,Education,Summer,3.75,Female,19
ST0283,2024-04-08,Education,First Semester,3.83,Female,28
ST0284,2024-12-01,Education,Second Semester,2.26,Male,22
ST0285,2024-02-19,Accounting,Summer,3.58,Male,28
ST0286,2024-12-10,Education,Summer,3.82,Male,28
ST0287,2024-10-05,Accounting,Summer,2.72,Female,22
ST0288,2022-01-05,Information Technology,Second Semester,3.9,Female,21
ST0289,2022-04-09,Information Technology,First Semester,2.15,Male,26
ST0290,2025-04-28,Engineering,Summer,3.77,Male,28
ST0291,2022-11-21,Engineering,First Semester,3.19,Male,20
ST0292,2022-01-06,Education,Summer,3.62,Male,29
ST0293,2023-06-16,Computer Science,Second Semester,2.73,Male,25
ST0294,2024-06-04,Business,Summer,3.57,Male,26
ST0295,2022-05-05,Business,Second Semester,3.81,Male,23
ST0296,2024-10-21,Engineering,Second Semester,2.92,Female,30
ST0297,2023-02-22,Engineering,Summer,2.84,Male,21
ST0298,2025-06-29,Engineering,First Semester,3.75,Male,28
ST0299,2023-09-12,Business,Summer,3.87,Male,22
ST0300,2021-06-21,Information Technology,Second Semester,2.9,Male,24
ST0301,2021-07-07,Information Technology,Second Semester,3.77,Male,24
ST0302,2021-04-20,Accounting,Summer,2.75,Female,19
ST0303,2023-02-07,Information Technology,First Semester,2.64,Male,29
ST0304,2024-08-24,Business,First Semester,2.28,Female,25
ST0305,2024-11-26,Information Technology,Summer,2.94,Male,19
ST0306,2021-02-08,Business,First Semester,3.67,Female,19
ST0307,2025-05-09,Business,First Semester,2.6,Male,21
ST0308,2023-05-10,Education,Summer,2.91,Male,25
ST0309,2024-05-07,Engineering,First Semester,3.26,Male,29
ST0310,2021-10-22,Business,Second Semester,2.0,Female,21
ST0311,2024-03-14,Accounting,First Semester,3.33,Male,26
ST0312,2023-01-09,Computer Science,Summer,3.09,Male,24
ST0313,2025-11-24,Accounting,First Semester,3.27,Female,22
ST0314,2025-03-11,Computer Science,Second Semester,3.58,Female,21
ST0315,2025-02-10,Education,Summer,2.21,Female,20
ST0316,2021-04-01,Business,Summer,2.68,Male,30
ST0317,2024-11-03,Accounting,Summer,2.96,Male,30
ST0318,2021-10-04,Computer Science,Summer,3.55,Female,18
ST0319,2022-08-24,Information Technology,First Semester,3.58,Male,23
ST0320,2022-09-28,Engineering,Second Semester,3.98,Female,22
ST0321,2021-03-16,Education,First Semester,2.57,Male,28
ST0322,2022-11-11,Business,First Semester,3.6,Female,24
ST0323,2025-03-03,Accounting,Second Semester,2.68,Male,25
ST0324,2024-11-18,Accounting,Second Semester,3.85,Female,30
ST0325,2021-06-19,Education,Second Semester,2.16,Male,26
ST0326,2022-08-25,Business,First Semester,2.16,Female,22
ST0327,2023-07-03,Engineering,Summer,2.85,Female,23
ST0328,2023-07-05,Computer Science,Summer,3.74,Female,27
ST0329,2023-06-10,Business,Summer,3.96,Male,19
ST0330,2024-10-06,Education,Second Semester,2.73,Male,18
ST0331,2021-10-20,Engineering,Summer,3.56,Male,20
ST0332,2021-05-18,Information Technology,Summer,2.73,Female,27
ST0333,2021-03-08,Engineering,First Semester,3.36,Female,23
ST0334,2023-06-29,Computer Science,Summer,2.28,Female,24
ST0335,2022-10-06,Education,Second Semester,2.5,Male,18
ST0336,2025-02-15,Information Technology,Second Semester,3.04,Male,22
ST0337,2025-05-07,Business,Summer,2.89,Female,29
ST0338,2023-10-03,Information Technology,First Semester,2.27,Male,25
ST0339,2021-12-20,Education,Second Semester,3.99,Female,28
ST0340,2022-12-13,Education,First Semester,3.1,Female,22
ST0341,2025-10-10,Information Technology,Summer,3.42,Male,30
ST0342,2023-01-11,Engineering,First Semester,2.24,Male,30
ST0343,2021-10-12,Information Technology,Second Semester,2.05,Female,25
ST0344,2025-07-04,Engineering,First Semester,3.22,Male,19
ST0345,2022-09-26,Accounting,Summer,3.44,Female,30
ST0346,2023-04-19,Engineering,First Semester,2.25,Female,28
ST0347,2021-06-01,Accounting,Second Semester,3.36,Female,20
ST0348,2025-12-04,Engineering,Summer,3.18,Male,24
ST0349,2023-10-27,Computer Science,First Semester,3.04,Female,20
ST0350,2021-11-28,Business,Summer,2.45,Female,19
ST0351,2022-05-29,Information Technology,Summer,3.91,Female,20
ST0352,2024-07-04,Business,Summer,3.07,Male,27
ST0353,2024-04-04,Information Technology,First Semester,3.32,Female,27
ST0354,2021-03-26,Computer Science,First Semester,2.09,Female,28
ST0355,2022-03-08,Engineering,Second Semester,3.24,Male,25
ST0356,2025-12-26,Education,Summer,2.58,Female,25
ST0357,2022-05-17,Education,Second Semester,2.59,Male,29
ST0358,2021-05-03,Information Technology,Second Semester,2.83,Female,21
ST0359,2022-11-28,Engineering,First Semester,2.63,Female,29
ST0360,2025-10-29,Business,Second Semester,2.26,Female,26
ST0361,2024-02-25,Computer Science,Second Semester,2.48,Male,22
ST0362,2023-07-10,Information Technology,First Semester,2.19,Female,24
ST0363,2025-11-05,Engineering,Second Semester,2.5,Male,23
ST0364,2024-03-29,Education,Second Semester,2.38,Male,25
ST0365,2023-11-21,Accounting,Second Semester,3.76,Female,18
ST0366,2021-07-04,Accounting,Summer,2.91,Male,21
ST0367,2024-04-09,Business,First Semester,2.1,Female,27
ST0368,2025-12-13,Education,Summer,2.94,Male,19
ST0369,2023-06-02,Information Technology,Second Semester,3.46,Female,23
ST0370,2021-04-03,Accounting,First Semester,3.14,Male,23
ST0371,2024-02-08,Business,First Semester,2.77,Female,30
ST0372,2024-02-01,Business,Summer,3.36,Male,20
ST0373,2021-07-18,Accounting,Second Semester,3.59,Female,26
ST0374,2023-01-19,Information Technology,First Semester,3.2,Female,26
ST0375,2021-03-24,Computer Science,First Semester,2.27,Female,30
ST0376,2023-08-29,Engineering,Second Semester,2.3,Male,23
ST0377,2024-06-09,Business,First Semester,2.79,Female,27
ST0378,2022-11-20,Engineering,Summer,3.06,Female,25
ST0379,2025-07-29,Computer Science,Second Semester,2.66,Male,24
ST0380,2024-04-10,Business,Summer,3.74,Male,27
ST0381,2023-08-30,Business,Summer,3.57,Male,29
ST0382,2021-04-16,Engineering,Second Semester,2.34,Female,20
ST0383,2025-08-10,Education,First Semester,2.06,Male,21
ST0384,2021-02-08,Accounting,Second Semester,2.84,Female,29
ST0385,2022-02-22,Accounting,Summer,3.55,Female,29
ST0386,2025-01-29,Computer Science,Summer,2.28,Male,26
ST0387,2022-10-28,Education,Second Semester,3.05,Female,20
ST0388,2023-07-31,Engineering,Second Semester,3.09,Female,27
ST0389,2023-09-19,Information Technology,First Semester,2.56,Female,21
ST0390,2022-09-02,Business,Summer,2.41,Female,23
ST0391,2023-09-10,Business,Summer,3.87,Female,22
ST0392,2021-09-07,Engineering,Summer,3.09,Female,23
ST0393,2025-05-03,Information Technology,Second Semester,2.08,Male,23
ST0394,2023-06-25,Education,Second Semester,3.49,Male,21
ST0395,2025-08-23,Engineering,Second Semester,3.87,Female,20
ST0396,2021-08-12,Engineering,Summer,3.17,Male,18
ST0397,2024-10-03,Engineering,First Semester,3.28,Male,19
ST0398,2023-04-27,Business,Summer,2.94,Male,18
ST0399,2024-02-02,Information Technology,Second Semester,3.31,Female,25
ST0400,2024-08-25,Information Technology,Second Semester,2.64,Male,30
ST0401,2021-07-03,Education,Summer,2.46,Male,20
ST0402,2023-05-06,Information Technology,First Semester,3.99,Female,30
ST0403,2023-10-12,Information Technology,Summer,3.92,Female,18
ST0404,2021-01-19,Business,Summer,3.21,Female,22
ST0405,2023-07-20,Education,Summer,3.05,Male,26
ST0406,2023-08-17,Business,First Semester,3.62,Female,20
ST0407,2025-02-06,Accounting,Summer,2.51,Male,18
ST0408,2025-02-17,Business,Second Semester,3.14,Male,20
ST0409,2024-06-05,Education,Second Semester,3.65,Female,19
ST0410,2023-04-01,Education,First Semester,2.37,Male,25
ST0411,2022-10-25,Information Technology,First Semester,2.52,Male,25
ST0412,2025-03-24,Business,Second Semester,2.6,Male,22
ST0413,2024-08-31,Business,Summer,2.47,Male,25
ST0414,2022-09-21,Information Technology,Second Semester,3.37,Female,29
ST0415,2021-08-29,Education,Second Semester,2.74,Male,21
ST0416,2021-10-01,Accounting,First Semester,2.91,Female,24
ST0417,2024-12-08,Engineering,Second Semester,3.51,Male,30
ST0418,2022-05-22,Education,Summer,3.75,Male,26
ST0419,2023-07-04,Engineering,Summer,2.72,Male,18
ST0420,2025-08-25,Engineering,Summer,2.4,Male,20
ST0421,2022-11-03,Engineering,Second Semester,2.23,Male,29
ST0422,2024-04-09,Accounting,First Semester,3.8,Female,30
ST0423,2021-04-24,Accounting,First Semester,3.03,Female,27
ST0424,2021-04-29,Engineering,Second Semester,3.35,Female,29
ST0425,2021-02-14,Accounting,Second Semester,3.63,Male,27
ST0426,2021-05-30,Computer Science,Second Semester,2.69,Male,26
ST0427,2021-05-04,Computer Science,Second Semester,2.06,Female,20
ST0428,2025-04-24,Information Technology,Summer,3.96,Female,23
ST0429,2025-12-31,Accounting,Second Semester,3.74,Female,24
ST0430,2021-06-14,Education,Summer,3.75,Male,28
ST0431,2025-10-28,Business,First Semester,2.36,Female,26
ST0432,2021-09-18,Education,First Semester,3.67,Male,22
ST0433,2023-08-07,Education,Summer,3.09,Female,21
ST0434,2022-05-22,Accounting,Second Semester,2.31,Male,29
ST0435,2025-04-17,Computer Science,First Semester,3.62,Female,27
ST0436,2025-04-18,Computer Science,First Semester,2.41,Male,27
ST0437,2021-03-10,Accounting,Summer,3.34,Male,21
ST0438,2025-02-25,Computer Science,Second Semester,2.88,Male,30
ST0439,2025-11-04,Computer Science,First Semester,3.01,Female,21
ST0440,2025-07-29,Education,Summer,2.64,Female,21
ST0441,2022-09-11,Information Technology,Summer,3.04,Female,22
ST0442,2022-07-18,Computer Science,Summer,3.9,Male,28
ST0443,2024-10-22,Accounting,Summer,2.99,Female,28
ST0444,2024-10-06,Accounting,Summer,2.64,Female,24
ST0445,2021-11-02,Business,Second Semester,2.37,Female,21
ST0446,2025-10-06,Information Technology,Second Semester,3.72,Male,30
ST0447,2023-08-07,Computer Science,Summer,2.83,Female,26
ST0448,2023-12-22,Information Technology,Second Semester,2.49,Male,23
ST0449,2024-08-17,Computer Science,Second Semester,3.69,Male,26
ST0450,2025-01-23,Information Technology,First Semester,2.54,Male,19
ST0451,2022-01-21,Engineering,Summer,3.34,Male,25
ST0452,2022-03-04,Business,Second Semester,3.91,Male,21
ST0453,2022-01-25,Education,First Semester,3.49,Female,21
ST0454,2024-11-25,Engineering,Summer,2.41,Male,26
