Date,Temperature_C
2023-07-14,24.72
2023-07-15,20.64
2023-07-16,21.23
2023-07-17,23.32
2023-07-18,20.53
2023-07-19,22.11
2023-07-20,21.94
2023-07-21,22.57
2023-07-22,21.11
2023-07-23,22.4
2023-07-24,21.51
2023-07-25,22.75
2023-07-26,21.1
2023-07-27,19.73
2023-07-28,21.26
2023-07-29,20.79
2023-07-30,20.22
2023-07-31,22.6
2023-08-01,20.16
2023-08-02,19.41
2023-08-03,18.62
2023-08-04,16.58
2023-08-05,19.05
2023-08-06,19.06
2023-08-07,20.1
2023-08-08,18.84
2023-08-09,17.31
2023-08-10,19.28
2023-08-11,18.42
2023-08-12,18.07
2023-08-13,20.43
2023-08-14,19.04
2023-08-15,19.06
2023-08-16,17.21
2023-08-17,16.15
2023-08-18,17.26
2023-08-19,17.1
2023-08-20,17.51
2023-08-21,18.67
2023-08-22,18.49
2023-08-23,17.96
2023-08-24,18.08
2023-08-25,15.57
2023-08-26,18.8
2023-08-27,16.89
2023-08-28,17.34
2023-08-29,17.88
2023-08-30,16.5
2023-08-31,13.92
2023-09-01,14.99
2023-09-02,17.05
2023-09-03,14.98
2023-09-04,13.19
2023-09-05,15.93
2023-09-06,13.45
2023-09-07,16.08
2023-09-08,15.02
2023-09-09,17.35
2023-09-10,14.04
2023-09-11,13.84
2023-09-12,17.14
2023-09-13,13.63
2023-09-14,16.56
2023-09-15,16.25
2023-09-16,20.27
2023-09-17,13.8
2023-09-18,16.05
2023-09-19,12.81
2023-09-20,16.04
2023-09-21,12.97
2023-09-22,15.16
2023-09-23,15.21
2023-09-24,16.51
2023-09-25,14.82
2023-09-26,15.35
2023-09-27,15.14
2023-09-28,15.12
2023-09-29,13.79
2023-09-30,15.86
2023-10-01,14.45
2023-10-02,15.5
2023-10-03,13.5
2023-10-04,14.89
2023-10-05,15.68
2023-10-06,14.67
2023-10-07,14.02
2023-10-08,13.24
2023-10-09,14.57
2023-10-10,14.77
2023-10-11,15.25
2023-10-12,14.19
2023-10-13,16.38
2023-10-14,16.21
2023-10-15,15.73
2023-10-16,15.1
2023-10-17,14.85
2023-10-18,15.23
2023-10-19,15.43
2023-10-20,13.22
2023-10-21,15.0
2023-10-22,15.42
2023-10-23,13.7
2023-10-24,13.65
2023-10-25,14.76
2023-10-26,19.0
2023-10-27,17.8
2023-10-28,16.65
2023-10-29,14.58
2023-10-30,17.08
2023-10-31,16.62
2023-11-01,15.16
2023-11-02,16.2
2023-11-03,16.98
2023-11-04,16.54
2023-11-05,18.88
2023-11-06,16.82
2023-11-07,17.68
2023-11-08,16.34
2023-11-09,15.41
2023-11-10,16.41
2023-11-11,18.06
2023-11-12,17.04
2023-11-13,18.44
2023-11-14,18.45
2023-11-15,17.89
2023-11-16,15.85
2023-11-17,17.42
2023-11-18,17.6
2023-11-19,18.31
2023-11-20,16.82
2023-11-21,19.21
2023-11-22,21.03
2023-11-23,19.35
2023-11-24,19.49
2023-11-25,16.17
2023-11-26,18.13
2023-11-27,19.2
2023-11-28,17.97
2023-11-29,20.68
2023-11-30,20.13
2023-12-01,20.73
2023-12-02,17.67
2023-12-03,18.33
2023-12-04,22.07
2023-12-05,18.46
2023-12-06,20.98
2023-12-07,20.59
2023-12-08,24.3
2023-12-09,19.46
2023-12-10,19.35
2023-12-11,21.7
2023-12-12,23.05
2023-12-13,23.58
2023-12-14,20.48
2023-12-15,23.13
2023-12-16,19.44
2023-12-17,24.64
2023-12-18,23.16
2023-12-19,19.0
2023-12-20,22.95
2023-12-21,21.69
2023-12-22,22.02
2023-12-23,25.4
2023-12-24,22.3
2023-12-25,22.06
2023-12-26,25.74
2023-12-27,25.38
2023-12-28,23.14
2023-12-29,22.87
2023-12-30,24.44
2023-12-31,26.58
2024-01-01,25.53
2024-01-02,26.12
2024-01-03,25.14
2024-01-04,24.53
2024-01-05,24.37
2024-01-06,25.29
2024-01-07,24.06
2024-01-08,25.5
2024-01-09,25.91
2024-01-10,24.63
2024-01-11,25.9
2024-01-12,26.48
2024-01-13,28.68
2024-01-14,29.81
2024-01-15,26.98
2024-01-16,27.4
2024-01-17,25.82
2024-01-18,29.27
2024-01-19,30.85
2024-01-20,26.97
2024-01-21,28.45
2024-01-22,28.75
2024-01-23,30.47
2024-01-24,28.86
2024-01-25,29.6
2024-01-26,31.26
2024-01-27,29.22
2024-01-28,29.56
2024-01-29,30.39
2024-01-30,31.02
2024-01-31,31.71
2024-02-01,30.26
2024-02-02,34.05
2024-02-03,31.44
2024-02-04,31.22
2024-02-05,32.95
2024-02-06,33.96
2024-02-07,28.67
2024-02-08,33.13
2024-02-09,32.23
2024-02-10,29.32
2024-02-11,32.08
2024-02-12,30.45
2024-02-13,32.01
2024-02-14,31.93
2024-02-15,30.13
2024-02-16,32.84
2024-02-17,30.42
2024-02-18,35.85
2024-02-19,30.2
2024-02-20,32.95
2024-02-21,31.81
2024-02-22,31.78
2024-02-23,33.79
2024-02-24,32.09
2024-02-25,33.06
2024-02-26,33.8
2024-02-27,32.03
2024-02-28,32.78
2024-02-29,33.89
2024-03-01,34.11
2024-03-02,32.92
2024-03-03,32.66
2024-03-04,33.52
2024-03-05,33.01
2024-03-06,35.58
2024-03-07,32.25
2024-03-08,34.64
2024-03-09,36.02
2024-03-10,35.04
2024-03-11,30.85
2024-03-12,34.31
2024-03-13,35.19
2024-03-14,34.21
2024-03-15,35.84
2024-03-16,35.11
2024-03-17,36.94
2024-03-18,31.58
2024-03-19,33.6
2024-03-20,35.92
2024-03-21,36.1
2024-03-22,35.92
2024-03-23,34.82
2024-03-24,35.37
2024-03-25,37.1
2024-03-26,34.54
2024-03-27,34.91
2024-03-28,37.59
2024-03-29,33.15
2024-03-30,35.89
2024-03-31,35.38
2024-04-01,35.16
2024-04-02,34.89
2024-04-03,31.76
2024-04-04,33.34
2024-04-05,36.13
2024-04-06,33.32
2024-04-07,36.53
2024-04-08,37.18
2024-04-09,33.61
2024-04-10,35.62
2024-04-11,35.64
2024-04-12,36.59
2024-04-13,35.33
2024-04-14,35.77
2024-04-15,35.46
2024-04-16,34.08
2024-04-17,34.12
2024-04-18,35.49
2024-04-19,31.71
2024-04-20,31.71
2024-04-21,35.74
2024-04-22,33.67
2024-04-23,35.32
2024-04-24,34.18
2024-04-25,33.35
2024-04-26,33.5
2024-04-27,33.3
2024-04-28,31.31
2024-04-29,34.79
2024-04-30,30.29
2024-05-01,31.96
2024-05-02,34.16
2024-05-03,33.98
2024-05-04,32.63
2024-05-05,32.6
2024-05-06,34.73
2024-05-07,32.97
2024-05-08,34.96
2024-05-09,33.93
2024-05-10,33.9
2024-05-11,31.09
2024-05-12,32.26
2024-05-13,31.84
2024-05-14,31.52
2024-05-15,30.87
2024-05-16,31.72
2024-05-17,32.01
2024-05-18,31.64
2024-05-19,32.14
2024-05-20,33.04
2024-05-21,31.65
2024-05-22,29.37
2024-05-23,31.1
2024-05-24,31.85
2024-05-25,29.6
2024-05-26,29.76
2024-05-27,30.43
2024-05-28,30.71
2024-05-29,31.53
2024-05-30,33.06
2024-05-31,30.27
2024-06-01,32.73
2024-06-02,30.56
2024-06-03,28.25
2024-06-04,29.5
2024-06-05,27.44
2024-06-06,29.11
2024-06-07,28.56
2024-06-08,28.49
2024-06-09,29.48
2024-06-10,28.29
2024-06-11,26.42
2024-06-12,28.41
2024-06-13,27.46
2024-06-14,27.1
2024-06-15,27.7
2024-06-16,25.41
2024-06-17,27.19
2024-06-18,25.83
2024-06-19,28.51
2024-06-20,24.49
2024-06-21,28.11
2024-06-22,25.36
2024-06-23,27.39
2024-06-24,24.32
2024-06-25,25.72
2024-06-26,26.12
2024-06-27,23.09
2024-06-28,26.11
2024-06-29,22.95
2024-06-30,26.07
2024-07-01,26.02
2024-07-02,23.33
2024-07-03,25.61
2024-07-04,23.45
2024-07-05,27.01
2024-07-06,23.88
2024-07-07,23.55
2024-07-08,21.83
2024-07-09,23.36
2024-07-10,25.98
2024-07-11,24.92
2024-07-12,23.74
2024-07-13,20.22
2024-07-14,23.79
2024-07-15,24.4
2024-07-16,21.67
2024-07-17,21.6
2024-07-18,21.13
2024-07-19,22.17
2024-07-20,21.13
2024-07-21,21.94
2024-07-22,22.26
2024-07-23,21.97
2024-07-24,19.52
2024-07-25,20.62
2024-07-26,22.95
2024-07-27,19.69
2024-07-28,20.83
2024-07-29,19.84
2024-07-30,21.93
2024-07-31,21.62
2024-08-01,20.15
2024-08-02,17.19
2024-08-03,19.44
2024-08-04,15.9
2024-08-05,20.84
2024-08-06,18.58
2024-08-07,20.03
2024-08-08,18.8
2024-08-09,17.92
2024-08-10,16.95
2024-08-11,18.92
2024-08-12,19.68
2024-08-13,19.16
2024-08-14,20.35
2024-08-15,17.73
2024-08-16,18.59
2024-08-17,18.46
2024-08-18,20.85
2024-08-19,15.96
2024-08-20,17.42
2024-08-21,15.78
2024-08-22,14.54
2024-08-23,16.24
2024-08-24,17.93
2024-08-25,18.24
2024-08-26,16.02
2024-08-27,14.28
2024-08-28,15.6
2024-08-29,15.2
2024-08-30,14.88
2024-08-31,14.93
2024-09-01,19.46
2024-09-02,14.99
2024-09-03,17.12
2024-09-04,16.63
2024-09-05,19.85
2024-09-06,16.83
2024-09-07,16.03
2024-09-08,17.03
2024-09-09,16.58
2024-09-10,17.33
2024-09-11,16.4
2024-09-12,15.21
2024-09-13,17.38
2024-09-14,15.7
2024-09-15,17.86
2024-09-16,14.69
2024-09-17,12.83
2024-09-18,13.49
2024-09-19,15.35
2024-09-20,15.52
2024-09-21,14.69
2024-09-22,13.8
2024-09-23,15.84
2024-09-24,15.19
2024-09-25,13.07
2024-09-26,14.61
2024-09-27,12.54
2024-09-28,13.61
2024-09-29,15.06
2024-09-30,17.21
2024-10-01,14.92
2024-10-02,17.26
2024-10-03,13.83
2024-10-04,14.16
2024-10-05,12.41
2024-10-06,16.93
2024-10-07,15.81
2024-10-08,18.41
2024-10-09,15.81
2024-10-10,14.1
2024-10-11,15.49
2024-10-12,17.58
2024-10-13,15.47
2024-10-14,13.53
2024-10-15,15.16
2024-10-16,14.19
2024-10-17,14.34
2024-10-18,15.64
2024-10-19,14.5
2024-10-20,15.97
2024-10-21,17.9
2024-10-22,14.78
2024-10-23,17.99
2024-10-24,16.07
2024-10-25,14.71
2024-10-26,16.34
2024-10-27,15.42
2024-10-28,15.16
2024-10-29,18.11
2024-10-30,12.03
2024-10-31,15.58
2024-11-01,18.77
2024-11-02,18.49
2024-11-03,13.36
2024-11-04,17.17
2024-11-05,16.99
2024-11-06,16.23
2024-11-07,19.35
2024-11-08,19.44
2024-11-09,19.0
2024-11-10,17.8
2024-11-11,15.09
2024-11-12,17.34
2024-11-13,18.23
2024-11-14,16.87
2024-11-15,18.32
2024-11-16,16.81
2024-11-17,18.44
2024-11-18,14.9
2024-11-19,17.06
2024-11-20,16.89
2024-11-21,18.6
2024-11-22,17.25
2024-11-23,18.26
2024-11-24,18.7
2024-11-25,21.05
2024-11-26,22.17
2024-11-27,17.16
2024-11-28,16.89
2024-11-29,20.55
2024-11-30,19.76
2024-12-01,19.4
2024-12-02,19.19
2024-12-03,18.61
2024-12-04,18.6
2024-12-05,20.72
2024-12-06,21.26
2024-12-07,24.15
2024-12-08,22.68
2024-12-09,22.1
2024-12-10,19.57
2024-12-11,19.59
2024-12-12,20.88
2024-12-13,19.41
2024-12-14,22.97
2024-12-15,22.55
2024-12-16,23.78
2024-12-17,23.97
2024-12-18,22.42
2024-12-19,24.67
2024-12-20,20.94
2024-12-21,24.96
2024-12-22,25.28
2024-12-23,26.12
2024-12-24,23.56
2024-12-25,23.92
2024-12-26,24.17
2024-12-27,25.92
2024-12-28,25.54
2024-12-29,26.31
2024-12-30,25.16
2024-12-31,25.52
2025-01-01,27.58
2025-01-02,26.81
2025-01-03,25.39
2025-01-04,26.48
2025-01-05,27.57
2025-01-06,24.64
2025-01-07,25.85
2025-01-08,27.35
2025-01-09,28.18
2025-01-10,26.58
2025-01-11,28.71
2025-01-12,26.89
2025-01-13,29.09
2025-01-14,30.82
2025-01-15,28.36
2025-01-16,28.79
2025-01-17,26.51
2025-01-18,30.64
2025-01-19,30.35
2025-01-20,27.9
2025-01-21,26.59
2025-01-22,30.94
2025-01-23,32.37
2025-01-24,26.13
2025-01-25,29.52
2025-01-26,29.12
2025-01-27,29.98
2025-01-28,28.58
2025-01-29,30.89
2025-01-30,33.24
2025-01-31,29.49
2025-02-01,29.7
2025-02-02,31.14
2025-02-03,30.87
2025-02-04,31.82
2025-02-05,28.94
2025-02-06,31.16
2025-02-07,33.54
2025-02-08,31.18
2025-02-09,30.95
2025-02-10,32.46
2025-02-11,32.23
2025-02-12,30.74
2025-02-13,31.77
2025-02-14,30.3
2025-02-15,32.36
2025-02-16,33.95
2025-02-17,30.9
2025-02-18,30.02
2025-02-19,30.44
2025-02-20,30.84
2025-02-21,34.65
2025-02-22,31.86
2025-02-23,31.47
2025-02-24,33.71
2025-02-25,34.57
2025-02-26,34.14
2025-02-27,32.84
2025-02-28,32.11
2025-03-01,35.44
2025-03-02,32.9
2025-03-03,33.2
2025-03-04,33.36
2025-03-05,31.78
2025-03-06,34.67
2025-03-07,36.75
2025-03-08,35.88
2025-03-09,34.85
2025-03-10,34.4
2025-03-11,35.05
2025-03-12,34.03
2025-03-13,33.32
2025-03-14,34.47
2025-03-15,35.61
2025-03-16,34.96
2025-03-17,35.52
2025-03-18,33.13
2025-03-19,31.3
2025-03-20,35.98
2025-03-21,32.91
2025-03-22,32.69
2025-03-23,34.8
2025-03-24,36.03
2025-03-25,31.94
2025-03-26,36.04
2025-03-27,35.77
2025-03-28,35.77
2025-03-29,33.99
2025-03-30,35.21
2025-03-31,32.8
2025-04-01,33.96
2025-04-02,35.41
2025-04-03,32.05
2025-04-04,33.12
2025-04-05,36.16
2025-04-06,36.65
2025-04-07,33.95
2025-04-08,37.57
2025-04-09,37.25
2025-04-10,33.94
2025-04-11,38.1
2025-04-12,33.3
2025-04-13,34.59
2025-04-14,34.78
2025-04-15,36.21
2025-04-16,33.73
2025-04-17,35.94
2025-04-18,35.06
2025-04-19,33.52
2025-04-20,34.96
2025-04-21,35.86
2025-04-22,36.59
2025-04-23,37.35
2025-04-24,36.34
2025-04-25,35.66
2025-04-26,35.41
2025-04-27,34.37
2025-04-28,35.17
2025-04-29,34.19
2025-04-30,32.42
2025-05-01,33.72
2025-05-02,33.63
2025-05-03,34.51
2025-05-04,33.45
2025-05-05,34.26
2025-05-06,34.91
2025-05-07,30.97
2025-05-08,34.61
2025-05-09,34.78
2025-05-10,34.68
2025-05-11,34.18
2025-05-12,32.79
2025-05-13,34.75
2025-05-14,34.04
2025-05-15,32.79
2025-05-16,32.15
2025-05-17,30.92
2025-05-18,30.23
2025-05-19,31.13
2025-05-20,34.78
2025-05-21,32.82
2025-05-22,32.0
2025-05-23,32.32
2025-05-24,27.67
2025-05-25,31.89
2025-05-26,30.72
2025-05-27,31.94
2025-05-28,30.05
2025-05-29,29.48
2025-05-30,31.7
2025-05-31,29.52
2025-06-01,31.16
2025-06-02,30.27
2025-06-03,30.69
2025-06-04,31.03
2025-06-05,29.88
2025-06-06,29.07
2025-06-07,30.66
2025-06-08,30.63
2025-06-09,27.47
2025-06-10,28.58
2025-06-11,26.33
2025-06-12,29.24
2025-06-13,27.25
2025-06-14,28.24
2025-06-15,27.0
2025-06-16,29.35
2025-06-17,26.05
2025-06-18,28.45
2025-06-19,26.84
2025-06-20,26.29
2025-06-21,27.7
2025-06-22,28.29
2025-06-23,27.17
2025-06-24,25.72
2025-06-25,27.02
2025-06-26,26.59
2025-06-27,23.96
2025-06-28,24.2
2025-06-29,21.4
2025-06-30,25.66
2025-07-01,24.45
2025-07-02,25.95
2025-07-03,26.42
2025-07-04,26.61
2025-07-05,24.58
2025-07-06,23.41
2025-07-07,26.66
2025-07-08,26.35
2025-07-09,25.13
2025-07-10,22.37
2025-07-11,22.68
2025-07-12,23.21
2025-07-13,22.67
2025-07-14,22.07
2025-07-15,20.75
2025-07-16,22.42
2025-07-17,22.08
2025-07-18,20.05
2025-07-19,20.72
2025-07-20,20.0
2025-07-21,22.37
2025-07-22,23.16
2025-07-23,22.63
2025-07-24,22.66
2025-07-25,19.39
2025-07-26,22.7
2025-07-27,22.06
2025-07-28,19.2
2025-07-29,20.86
2025-07-30,24.49
2025-07-31,17.71
2025-08-01,19.21
2025-08-02,18.12
2025-08-03,18.13
2025-08-04,20.21
2025-08-05,20.32
2025-08-06,19.81
2025-08-07,19.07
2025-08-08,18.85
2025-08-09,20.12
2025-08-10,18.22
2025-08-11,18.47
2025-08-12,18.96
2025-08-13,18.1
2025-08-14,18.82
2025-08-15,18.72
2025-08-16,14.82
2025-08-17,19.85
2025-08-18,20.77
2025-08-19,17.4
2025-08-20,17.22
2025-08-21,18.35
2025-08-22,15.14
2025-08-23,18.01
2025-08-24,16.55
2025-08-25,18.01
2025-08-26,13.31
2025-08-27,15.09
2025-08-28,17.17
2025-08-29,16.67
2025-08-30,17.46
2025-08-31,18.03
2025-09-01,14.68
2025-09-02,16.2
2025-09-03,15.05
2025-09-04,16.82
2025-09-05,16.25
2025-09-06,16.18
2025-09-07,15.24
2025-09-08,15.69
2025-09-09,15.18
2025-09-10,13.92
2025-09-11,12.96
2025-09-12,18.09
2025-09-13,15.38
2025-09-14,13.62
2025-09-15,15.7
2025-09-16,15.13
2025-09-17,16.69
2025-09-18,14.54
2025-09-19,14.32
2025-09-20,14.54
2025-09-21,16.33
2025-09-22,15.42
2025-09-23,16.96
2025-09-24,15.46
2025-09-25,15.92
2025-09-26,16.71
2025-09-27,16.52
2025-09-28,14.61
2025-09-29,16.87
2025-09-30,14.58
2025-10-01,16.55
2025-10-02,15.29
2025-10-03,16.08
2025-10-04,18.09
2025-10-05,15.14
2025-10-06,14.7
2025-10-07,17.73
2025-10-08,15.57
2025-10-09,15.76
2025-10-10,14.98
2025-10-11,14.99
2025-10-12,17.16
2025-10-13,16.26
2025-10-14,15.21
2025-10-15,17.1
2025-10-16,15.28
2025-10-17,14.73
2025-10-18,13.17
2025-10-19,15.53
2025-10-20,15.01
2025-10-21,13.21
2025-10-22,14.58
2025-10-23,14.45
2025-10-24,15.89
2025-10-25,18.01
2025-10-26,15.03
2025-10-27,14.98
2025-10-28,15.98
2025-10-29,14.76
2025-10-30,16.07
2025-10-31,16.46
2025-11-01,19.27
2025-11-02,16.29
2025-11-03,16.13
2025-11-04,17.14
2025-11-05,13.99
2025-11-06,17.49
2025-11-07,17.25
2025-11-08,14.39
2025-11-09,17.15
2025-11-10,17.86
2025-11-11,17.26
2025-11-12,14.91
2025-11-13,18.6
2025-11-14,18.17
2025-11-15,18.72
2025-11-16,17.05
2025-11-17,19.24
2025-11-18,18.61
2025-11-19,17.12
2025-11-20,18.48
2025-11-21,16.24
2025-11-22,20.52
2025-11-23,19.25
2025-11-24,17.51
2025-11-25,19.32
2025-11-26,17.35
2025-11-27,19.73
2025-11-28,18.69
2025-11-29,22.42
2025-11-30,19.64
2025-12-01,19.36
2025-12-02,18.34
2025-12-03,20.86
2025-12-04,21.72
2025-12-05,21.92
2025-12-06,21.54
2025-12-07,18.91
2025-12-08,21.3
2025-12-09,21.48
2025-12-10,20.97
2025-12-11,23.4
2025-12-12,24.33
2025-12-13,22.99
2025-12-14,19.47
2025-12-15,23.55
2025-12-16,24.7
2025-12-17,22.09
2025-12-18,23.57
2025-12-19,24.85
2025-12-20,19.53
2025-12-21,21.1
2025-12-22,21.86
2025-12-23,25.08
2025-12-24,22.53
2025-12-25,24.51
2025-12-26,23.61
2025-12-27,25.93
2025-12-28,23.3
2025-12-29,23.86
2025-12-30,24.3
2025-12-31,24.5
